"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HOMDEL","n_subjects_HOMDEL","n_events_HETDEL","n_subjects_HETDEL","n_events_GAIN","n_subjects_GAIN","n_events_ALL_CNA","n_subjects_ALL_CNA"
"PTEN","ENST00000371953","HOMDEL_cluster_0011","HOMDEL","5;6","1D","5;6","5;6","ENSE00001156327;ENSE00001156330",5,6,2,20,19,1,5.15928912557371,0.665338645418327,0.713147410358566,1,1,1,1,1,1,5,7,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:19;6:14","5:19;6:14",14,14,13,13,1,"5",1,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,0.832335329341317,1,1,1,2,0,"No significant recurrence or compactness",20,19,61,60,4,4,85,79
"PTEN","ENST00000371953","HOMDEL_cluster_0012","HOMDEL","5;6;7;8;9","1D","5;6;7;8;9","5;6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001156330;ENSE00001456541;ENSE00003725338",5,9,5,21,20,4,10.1592312730255,0.840637450199203,0.840637450199203,1,1,1,1,1,1,6,8,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:19;6:14;7:14;8:14;9:15","5:19;6:14;7:14;8:14;9:15",14,14,14,14,1,"5;6",1,1,TRUE,"PARTIAL_LOCALIZABLE",9,9,0.00399201596806387,0.031936127744511,0.063872255489022,0.063872255489022,5,0,"No significant recurrence or compactness",21,20,61,60,5,5,87,80
"PTEN","ENST00000371953","HOMDEL_cluster_0013","HOMDEL","1;2;3;4;5;6;7;8;9","1D;3D","1;2;3;4;5;6;7;8;9","1;2;3;4;5;6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00001456541;ENSE00003595610;ENSE00003725338;ENSE00004011725",1,9,9,35,34,8,28.5615062085365,1,1,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14;9:15","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14;9:15",3,3,32,31,1,"1;2;3;4;5",2,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,9,1,"Recurrent exon(s) without significant multi-exon compactness",35,34,88,81,7,6,130,104
"PTEN","ENST00000371953","HOMDEL_cluster_0014","HOMDEL","1","1D;3D","1","1","ENSE00004011725",1,1,1,3,3,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:3","1:3",3,3,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",3,3,18,18,2,2,23,23
"PTEN","ENST00000371953","HOMDEL_cluster_0015","HOMDEL","2","1D;3D","2","2","ENSE00001156351",2,2,1,26,26,0,0,,,,,,,,,5,10,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:26","2:26",26,26,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,1,1,"Recurrent exon(s); multi-exon compactness not testable",26,26,56,56,1,1,83,83
"PTEN","ENST00000371953","HOMDEL_cluster_0016","HOMDEL","3","1D;3D","3","3","ENSE00001156344",3,3,1,25,25,0,0,,,,,,,,,5,11,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:25","3:25",25,25,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.0678642714570858,0.748502994011976,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",25,25,54,54,2,2,81,81
"PTEN","ENST00000371953","HOMDEL_cluster_0017","HOMDEL","4","1D;3D","4","4","ENSE00003595610",4,4,1,19,19,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","4:19","4:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",4,4,0.952095808383233,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HOMDEL_cluster_0018","HOMDEL","5","1D;3D","5","5","ENSE00001156330",5,5,1,19,19,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","5:19","5:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",5,5,0.832335329341317,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HOMDEL_cluster_0019","HOMDEL","6","1D;3D","6","6","ENSE00001156327",6,6,1,14,14,0,0,,,,,,,,,4,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","6:14","6:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",6,6,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,43,43,3,3,60,60
"PTEN","ENST00000371953","HOMDEL_cluster_0020","HOMDEL","7","1D;3D","7","7","ENSE00003725338",7,7,1,14,14,0,0,,,,,,,,,4,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","7:14","7:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",7,7,0.954091816367265,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HOMDEL_cluster_0021","HOMDEL","8","1D;3D","8","8","ENSE00001156315",8,8,1,14,14,0,0,,,,,,,,,4,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","8:14","8:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",8,8,0.674650698602794,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,39,39,3,3,56,56
"PTEN","ENST00000371953","HOMDEL_cluster_0022","HOMDEL","9","1D;3D","9","9","ENSE00001456541",9,9,1,15,15,0,0,,,,,,,,,4,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","9:15","9:15",15,15,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",9,9,0.00399201596806387,0.031936127744511,0.063872255489022,0.063872255489022,1,0,"No significant recurrence; multi-exon compactness not testable",15,15,38,38,3,3,56,56
"PTEN","ENST00000371953","HETDEL_cluster_0001","HETDEL","1;2;5","3D","1;2;5","1;2;5","ENSE00001156330;ENSE00001156351;ENSE00004011725",1,5,3,82,77,4,5.2305078957644,0.0278884462151394,0.00398406374501992,0.0199203187250996,0.00398406374501992,0.0318725099601594,0.00398406374501992,0.00398406374501992,0.00398406374501992,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","1:18;2:56;5:56","1:18;2:56;5:56",18,18,44,44,5,"2;5",6,4,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,3,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",33,33,82,77,5,4,120,102
"PTEN","ENST00000371953","HETDEL_cluster_0002","HETDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,4,4,83,77,3,15.9159444173143,0.00398406374501992,0.0278884462151394,0.00398406374501992,0.0318725099601594,0.00398406374501992,0.0318725099601594,0.00398406374501992,0.00398406374501992,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","1:18;2:56;3:54;4:56","1:18;2:56;3:54;4:56",18,18,55,55,5,"3;4",10,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,4,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HETDEL_cluster_0003","HETDEL","3;4","1D;3D","3;4","3;4","ENSE00001156344;ENSE00003595610",3,4,2,73,71,1,5.5594506259578,0.00398406374501992,0.171314741035857,0.00398406374501992,0.677290836653386,0.00398406374501992,0.693227091633466,0.00398406374501992,0.00398406374501992,3,5,TRUE,TRUE,TRUE,"",TRUE,FALSE,TRUE,"Exon-order hotspot without independent 3D enrichment","3:54;4:56","3:54;4:56",54,54,37,37,2,"4",17,15,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.205588822355289,0.992015968063872,1,1,2,0,"Significant compact cluster without exon-level recurrence",31,31,73,71,3,3,107,95
"PTEN","ENST00000371953","HETDEL_cluster_0004","HETDEL","2;5","3D","2;5","2;5","ENSE00001156330;ENSE00001156351",2,5,2,76,73,3,4.48506255785825,0.047808764940239,0.0239043824701195,0.047808764940239,0.0159362549800797,0.047808764940239,0.0159362549800797,0.0159362549800797,0.0159362549800797,4,5,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","2:56;5:56","2:56;5:56",56,56,36,36,3,"2",20,17,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",32,32,76,73,3,3,111,97
"PTEN","ENST00000371953","HETDEL_cluster_0005","HETDEL","1;2;3;4;5","3D","1;2;3;4;5","1;2;3;4;5","ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,5,5,83,77,4,15.9159444173143,0.0278884462151394,0.0278884462151394,0.0199203187250996,0.0318725099601594,0.0318725099601594,0.0318725099601594,0.0318725099601594,0.0318725099601594,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","1:18;2:56;3:54;4:56;5:56","1:18;2:56;3:54;4:56;5:56",18,18,74,72,5,"1;2;3;4",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,5,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HETDEL_cluster_0006","HETDEL","1;2","1D","1;2","1;2","ENSE00001156351;ENSE00004011725",1,2,2,62,61,1,5.09284759901451,0.286852589641434,0.0956175298804781,0.856573705179283,0.215139442231076,0.880478087649402,0.223107569721116,0.223107569721116,0.223107569721116,5,10,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:18;2:56","1:18;2:56",18,18,12,12,1,"2",6,5,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,2,1,"Recurrent exon(s) without significant multi-exon compactness",27,27,62,61,3,2,92,89
"PTEN","ENST00000371953","HETDEL_cluster_0007","HETDEL","7;8","1D;3D","7;8","7;8","ENSE00001156315;ENSE00003725338",7,8,2,41,41,1,4.50447228016122,0.187250996015936,0.183266932270916,0.721115537848606,0.741035856573705,0.764940239043825,0.756972111553785,0.756972111553785,0.756972111553785,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:41;8:39","7:41;8:39",39,39,39,39,0,"7",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,0.848303393213573,1,1,1,2,0,"No significant recurrence or compactness",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HETDEL_cluster_0008","HETDEL","7;8;9","1D","7;8;9","7;8;9","ENSE00001156315;ENSE00001456541;ENSE00003725338",7,9,3,41,41,2,8.87616612257633,0.187250996015936,0.187250996015936,0.721115537848606,0.749003984063745,0.764940239043825,0.764940239043825,0.764940239043825,0.764940239043825,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:41;8:39;9:38","7:41;8:39;9:38",38,38,39,39,0,"7;8",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,3,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,41,41,4,4,60,59
"PTEN","ENST00000371953","HETDEL_cluster_0009","HETDEL","6;9","3D","6;9","6;9","ENSE00001156327;ENSE00001456541",6,9,2,43,43,3,4.77930080439185,0.223107569721116,0.191235059760956,0.776892430278884,0.749003984063745,0.836653386454183,0.764940239043825,0.764940239043825,0.764940239043825,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:43;9:38","6:43;9:38",38,38,38,38,0,"6",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,2,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,43,43,3,3,61,60
"PTEN","ENST00000371953","HETDEL_cluster_0010","HETDEL","6;7;8;9","3D","6;7;8;9","6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001456541;ENSE00003725338",6,9,4,43,43,3,8.87616612257633,0.223107569721116,0.223107569721116,0.776892430278884,0.832669322709163,0.836653386454183,0.836653386454183,0.836653386454183,0.836653386454183,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:43;7:41;8:39;9:38","6:43;7:41;8:39;9:38",38,38,41,41,0,"6;9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,4,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,43,43,4,4,62,61
"PTEN","ENST00000371953","HETDEL_cluster_0011","HETDEL","5;6","1D","5;6","5;6","ENSE00001156327;ENSE00001156330",5,6,2,61,60,1,5.15928912557371,0.390438247011952,0.366533864541833,0.9800796812749,0.908366533864542,0.98804780876494,0.924302788844621,0.924302788844621,0.924302788844621,5,9,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:56;6:43","5:56;6:43",43,43,38,38,1,"5",5,4,TRUE,"PARTIAL_LOCALIZABLE",5,5,0.329341317365269,1,1,1,2,0,"No significant recurrence or compactness",20,19,61,60,4,4,85,79
"PTEN","ENST00000371953","HETDEL_cluster_0012","HETDEL","5;6;7;8;9","1D","5;6;7;8;9","5;6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001156330;ENSE00001456541;ENSE00003725338",5,9,5,61,60,4,10.1592312730255,0.50597609561753,0.50597609561753,1,1,1,1,1,1,5,9,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:56;6:43;7:41;8:39;9:38","5:56;6:43;7:41;8:39;9:38",38,38,43,43,1,"5;6",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,5,1,"Recurrent exon(s) without significant multi-exon compactness",21,20,61,60,5,5,87,80
"PTEN","ENST00000371953","HETDEL_cluster_0013","HETDEL","1","1D;3D","1","1","ENSE00004011725",1,1,1,18,18,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:18","1:18",18,18,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,0.944111776447106,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",3,3,18,18,2,2,23,23
"PTEN","ENST00000371953","HETDEL_cluster_0014","HETDEL","2","1D;3D","2","2","ENSE00001156351",2,2,1,56,56,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:56","2:56",56,56,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,1,1,"Recurrent exon(s); multi-exon compactness not testable",26,26,56,56,1,1,83,83
"PTEN","ENST00000371953","HETDEL_cluster_0015","HETDEL","3","1D;3D","3","3","ENSE00001156344",3,3,1,54,54,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:54","3:54",54,54,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.205588822355289,0.992015968063872,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",25,25,54,54,2,2,81,81
"PTEN","ENST00000371953","HETDEL_cluster_0016","HETDEL","4","1D;3D","4","4","ENSE00003595610",4,4,1,56,56,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","4:56","4:56",56,56,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",4,4,0.435129740518962,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HETDEL_cluster_0017","HETDEL","5","1D;3D","5","5","ENSE00001156330",5,5,1,56,56,0,0,,,,,,,,,5,7,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","5:56","5:56",56,56,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",5,5,0.329341317365269,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HETDEL_cluster_0018","HETDEL","6","1D;3D","6","6","ENSE00001156327",6,6,1,43,43,0,0,,,,,,,,,3,4,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","6:43","6:43",43,43,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",6,6,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,43,43,3,3,60,60
