"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HETDEL","n_subjects_HETDEL","n_events_HOMDEL","n_subjects_HOMDEL","n_events_ALL_CNA","n_subjects_ALL_CNA"
"LEF1","ENST00000265165","HETDEL_cluster_0011","HETDEL","5;6;7;8;9;10;11","1D","5;6;7;8;9;10;11","5;6;7;8;9;10;11","ENSE00003468993;ENSE00003478404;ENSE00003510092;ENSE00003530344;ENSE00003604670;ENSE00003651348;ENSE00003663409",5,11,7,35,35,6,59.5255826879243,0.211576846307385,0.211576846307385,0.830339321357285,0.862275449101796,0.862275449101796,0.862275449101796,0.862275449101796,0.862275449101796,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:34;6:30;7:23;8:22;9:17;10:15;11:15","5:34;6:30;7:23;8:22;9:17;10:15;11:15",15,15,31,31,0,"5;6;7;8",0,0,FALSE,"PARTIAL_LOCALIZABLE",11,11,0.434565434565435,1,1,1,7,0,"No significant recurrence or compactness",35,35,2,2,37,36
"LEF1","ENST00000265165","HETDEL_cluster_0012","HETDEL","5;11","3D","5;11","5;11","ENSE00003510092;ENSE00003663409",5,11,2,34,34,6,21.6125746887117,0.231536926147705,0.199600798403194,0.882235528942116,0.862275449101796,0.902195608782435,0.862275449101796,0.862275449101796,0.862275449101796,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:34;11:15","5:34;11:15",15,15,15,15,0,"5",0,0,FALSE,"PARTIAL_LOCALIZABLE",11,11,0.434565434565435,1,1,1,2,0,"No significant recurrence or compactness",34,34,2,2,36,36
"LEF1","ENST00000265165","HETDEL_cluster_0013","HETDEL","5;6","1D","5;6","5;6","ENSE00003468993;ENSE00003663409",5,6,2,34,34,1,23.3470108635339,0.231536926147705,0.231536926147705,0.882235528942116,0.882235528942116,0.902195608782435,0.902195608782435,0.902195608782435,0.902195608782435,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:34;6:30","5:34;6:30",30,30,30,30,0,"5",0,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,1,1,1,1,2,0,"No significant recurrence or compactness",34,34,2,2,36,36
"LEF1","ENST00000265165","HETDEL_cluster_0014","HETDEL","5;6;10;11","3D","5;6;10;11","5;6;10;11","ENSE00003468993;ENSE00003510092;ENSE00003530344;ENSE00003663409",5,11,4,34,34,6,23.5635634534127,0.231536926147705,0.231536926147705,0.882235528942116,0.882235528942116,0.902195608782435,0.902195608782435,0.902195608782435,0.902195608782435,3,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:34;6:30;10:15;11:15","5:34;6:30;10:15;11:15",15,15,30,30,0,"5;11",0,0,FALSE,"PARTIAL_LOCALIZABLE",11,11,0.434565434565435,1,1,1,4,0,"No significant recurrence or compactness",34,34,2,2,36,36
"LEF1","ENST00000265165","HETDEL_cluster_0015","HETDEL","1;4;8;9","3D","1;4;8;9","1;4;8;9","ENSE00001136349;ENSE00003558404;ENSE00003604670;ENSE00003651348",1,9,4,63,63,8,31.9056803847688,0.375249500998004,0.333333333333333,0.916167664670659,0.914171656686627,0.916167664670659,0.916167664670659,0.916167664670659,0.916167664670659,7,10,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:25;4:39;8:22;9:17","1:25;4:39;8:22;9:17",17,17,22,22,0,"1;8;9",17,17,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.0559440559440559,0.646353646353646,1,1,4,0,"No significant recurrence or compactness",63,63,5,5,68,65
"LEF1","ENST00000265165","HETDEL_cluster_0016","HETDEL","1;4;5;6;8;9;10;11","3D","1;4;5;6;8;9;10;11","1;4;5;6;8;9;10;11","ENSE00001136349;ENSE00003468993;ENSE00003510092;ENSE00003530344;ENSE00003558404;ENSE00003604670;ENSE00003651348;ENSE00003663409",1,11,8,63,63,10,46.6929587977115,0.375249500998004,0.333333333333333,0.916167664670659,0.914171656686627,0.916167664670659,0.916167664670659,0.916167664670659,0.916167664670659,7,10,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:25;4:39;5:34;6:30;8:22;9:17;10:15;11:15","1:25;4:39;5:34;6:30;8:22;9:17;10:15;11:15",15,15,35,35,0,"1;4;8;9",0,0,FALSE,"PARTIAL_LOCALIZABLE",1,1,0.0559440559440559,0.646353646353646,1,1,8,0,"No significant recurrence or compactness",63,63,5,5,68,65
"LEF1","ENST00000265165","HETDEL_cluster_0017","HETDEL","1;8;9","3D","1;8;9","1;8;9","ENSE00001136349;ENSE00003604670;ENSE00003651348",1,9,3,46,46,8,10.0248159892449,0.489021956087824,0.413173652694611,0.962075848303393,0.952095808383233,0.962075848303393,0.952095808383233,0.952095808383233,0.952095808383233,5,7,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:25;8:22;9:17","1:25;8:22;9:17",17,17,17,17,0,"1",21,21,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.0559440559440559,0.646353646353646,1,1,3,0,"No significant recurrence or compactness",46,46,5,5,51,49
"LEF1","ENST00000265165","HETDEL_cluster_0018","HETDEL","1","1D;3D","1","1","ENSE00001136349",1,1,1,25,25,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:25","1:25",25,25,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,0.0559440559440559,0.646353646353646,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",25,25,4,4,29,29
"LEF1","ENST00000265165","HETDEL_cluster_0019","HETDEL","10","1D;3D","10","10","ENSE00003530344",10,10,1,15,15,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","10:15","10:15",15,15,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",10,10,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",15,15,0,0,15,15
"LEF1","ENST00000265165","HETDEL_cluster_0020","HETDEL","11","1D;3D","11","11","ENSE00003510092",11,11,1,15,15,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","11:15","11:15",15,15,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",11,11,0.434565434565435,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",15,15,0,0,15,15
"LEF1","ENST00000265165","HETDEL_cluster_0021","HETDEL","2","1D;3D","2","2","ENSE00003638064",2,2,1,108,108,0,0,,,,,,,,,3,3,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:108","2:108",108,108,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,1,1,"Recurrent exon(s); multi-exon compactness not testable",108,108,30,30,138,138
"LEF1","ENST00000265165","HETDEL_cluster_0022","HETDEL","3","1D;3D","3","3","ENSE00003515141",3,3,1,110,110,0,0,,,,,,,,,3,3,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:110","3:110",110,110,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,1,1,"Recurrent exon(s); multi-exon compactness not testable",110,110,30,30,140,140
"LEF1","ENST00000265165","HETDEL_cluster_0023","HETDEL","4","1D;3D","4","4","ENSE00003558404",4,4,1,39,39,0,0,,,,,,,,,4,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","4:39","4:39",39,39,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",4,4,0.972027972027972,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",39,39,2,2,41,41
"LEF1","ENST00000265165","HETDEL_cluster_0024","HETDEL","5","1D;3D","5","5","ENSE00003663409",5,5,1,34,34,0,0,,,,,,,,,3,4,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","5:34","5:34",34,34,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",5,5,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",34,34,2,2,36,36
"LEF1","ENST00000265165","HETDEL_cluster_0025","HETDEL","6","1D;3D","6","6","ENSE00003468993",6,6,1,30,30,0,0,,,,,,,,,3,3,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","6:30","6:30",30,30,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",6,6,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",30,30,2,2,32,32
"LEF1","ENST00000265165","HETDEL_cluster_0026","HETDEL","7","1D;3D","7","7","ENSE00003478404",7,7,1,23,23,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","7:23","7:23",23,23,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",7,7,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",23,23,1,1,24,24
"LEF1","ENST00000265165","HETDEL_cluster_0027","HETDEL","8","1D;3D","8","8","ENSE00003604670",8,8,1,22,22,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","8:22","8:22",22,22,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",8,8,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",22,22,1,1,23,23
"LEF1","ENST00000265165","HETDEL_cluster_0028","HETDEL","9","1D;3D","9","9","ENSE00003651348",9,9,1,17,17,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","9:17","9:17",17,17,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",9,9,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",17,17,1,1,18,18
"LEF1","ENST00000265165","HETDEL_cluster_0029","HETDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001136349;ENSE00003515141;ENSE00003558404;ENSE00003638064",1,4,4,128,127,3,78.9045395221081,,,,,,,,,1,1,FALSE,FALSE,FALSE,"invariant_1d_and_3d_null",FALSE,FALSE,FALSE,"Multi-exon compactness not testable: invariant null","1:25;2:108;3:110;4:39","1:25;2:108;3:110;4:39",25,25,109,109,1,"3;4",7,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,4,2,"Recurrent exon(s); multi-exon compactness not testable",128,127,30,30,158,143
"LEF1","ENST00000265165","HETDEL_cluster_0030","HETDEL","1;2;3;4;5;6;7;8;9;10;11","1D;3D","1;2;3;4;5;6;7;8;9;10;11","1;2;3;4;5;6;7;8;9;10;11","ENSE00001136349;ENSE00003468993;ENSE00003478404;ENSE00003510092;ENSE00003515141;ENSE00003530344;ENSE00003558404;ENSE00003604670;ENSE00003638064;ENSE00003651348;ENSE00003663409",1,11,11,129,128,10,78.9045395221081,,,,,,,,,1,1,FALSE,FALSE,FALSE,"invariant_1d_and_3d_null",FALSE,FALSE,FALSE,"Multi-exon compactness not testable: invariant null","1:25;2:108;3:110;4:39;5:34;6:30;7:23;8:22;9:17;10:15;11:15","1:25;2:108;3:110;4:39;5:34;6:30;7:23;8:22;9:17;10:15;11:15",15,15,120,120,1,"1;2;3;4",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,11,2,"Recurrent exon(s); multi-exon compactness not testable",129,128,30,30,159,143
"LEF1","ENST00000265165","HOMDEL_cluster_0001","HOMDEL","3;7","3D","3;7","3;7","ENSE00003478404;ENSE00003515141",3,7,2,30,30,4,17.9481566370832,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,3,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","3:30;7:1","3:30;7:1",1,1,1,1,0,"3",0,0,FALSE,"PARTIAL_LOCALIZABLE",3,3,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",119,119,30,30,149,142
"LEF1","ENST00000265165","HOMDEL_cluster_0002","HOMDEL","1;2","1D","1;2","1;2","ENSE00001136349;ENSE00003638064",1,2,2,30,30,1,22.9066951093047,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,3,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","1:4;2:30","1:4;2:30",4,4,4,4,0,"2",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",113,113,30,30,143,138
"LEF1","ENST00000265165","HOMDEL_cluster_0003","HOMDEL","3;4","1D","3;4","3;4","ENSE00003515141;ENSE00003558404",3,4,2,30,30,1,25.5430515083498,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,3,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","3:30;4:2","3:30;4:2",2,2,2,2,0,"3",0,0,FALSE,"PARTIAL_LOCALIZABLE",3,3,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",121,121,30,30,151,142
"LEF1","ENST00000265165","HOMDEL_cluster_0004","HOMDEL","2;3;7","3D","2;3;7","2;3;7","ENSE00003478404;ENSE00003515141;ENSE00003638064",2,7,3,30,30,5,34.0309003984641,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.00598802395209581,3,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","2:30;3:30;7:1","2:30;3:30;7:1",1,1,30,30,0,"3;7",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,3,2,"Recurrent exon(s) in a significant 1D/3D compact cluster",121,120,30,30,151,143
"LEF1","ENST00000265165","HOMDEL_cluster_0005","HOMDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001136349;ENSE00003515141;ENSE00003558404;ENSE00003638064",1,4,4,30,30,3,78.9045395221081,0.00199600798403194,1,0.00199600798403194,1,0.00598802395209581,1,0.00598802395209581,0.00598802395209581,3,2,TRUE,TRUE,TRUE,"",TRUE,FALSE,TRUE,"Exon-order hotspot without independent 3D enrichment","1:4;2:30;3:30;4:2","1:4;2:30;3:30;4:2",2,2,30,30,0,"1;2",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,4,2,"Recurrent exon(s) in a significant 1D/3D compact cluster",128,127,30,30,158,143
"LEF1","ENST00000265165","HOMDEL_cluster_0006","HOMDEL","1;2;3;4;5;6;7;8;9","1D;3D","1;2;3;4;5;6;7;8;9","1;2;3;4;5;6;7;8;9","ENSE00001136349;ENSE00003468993;ENSE00003478404;ENSE00003515141;ENSE00003558404;ENSE00003604670;ENSE00003638064;ENSE00003651348;ENSE00003663409",1,9,9,30,30,8,78.9045395221081,0.00598802395209581,1,0.0119760479041916,1,0.0139720558882236,1,0.0139720558882236,0.0139720558882236,3,2,TRUE,TRUE,TRUE,"",TRUE,FALSE,TRUE,"Exon-order hotspot without independent 3D enrichment","1:4;2:30;3:30;4:2;5:2;6:2;7:1;8:1;9:1","1:4;2:30;3:30;4:2;5:2;6:2;7:1;8:1;9:1",1,1,30,30,0,"1;2;3;4",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,9,2,"Recurrent exon(s) in a significant 1D/3D compact cluster",129,128,30,30,159,143
"LEF1","ENST00000265165","HOMDEL_cluster_0007","HOMDEL","5;6","1D;3D","5;6","5;6","ENSE00003468993;ENSE00003663409",5,6,2,2,2,1,23.3470108635339,0.465069860279441,0.465069860279441,0.640718562874252,0.502994011976048,0.648702594810379,0.648702594810379,0.648702594810379,0.648702594810379,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:2;6:2","5:2;6:2",2,2,2,2,0,"5",0,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,0.998001998001998,1,1,1,2,0,"No significant recurrence or compactness",34,34,2,2,36,36
"LEF1","ENST00000265165","HOMDEL_cluster_0008","HOMDEL","4;5;6","3D","4;5;6","4;5;6","ENSE00003468993;ENSE00003558404;ENSE00003663409",4,6,3,2,2,2,25.8778451866679,0.465069860279441,0.465069860279441,0.640718562874252,0.502994011976048,0.648702594810379,0.648702594810379,0.648702594810379,0.648702594810379,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","4:2;5:2;6:2","4:2;5:2;6:2",2,2,2,2,0,"5;6",0,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,0.998001998001998,1,1,1,3,0,"No significant recurrence or compactness",39,39,2,2,41,41
"LEF1","ENST00000265165","HOMDEL_cluster_0009","HOMDEL","5;6;7;8;9","1D","5;6;7;8;9","5;6;7;8;9","ENSE00003468993;ENSE00003478404;ENSE00003604670;ENSE00003651348;ENSE00003663409",5,9,5,2,2,4,59.5255826879243,0.465069860279441,0.465069860279441,0.640718562874252,0.502994011976048,0.648702594810379,0.648702594810379,0.648702594810379,0.648702594810379,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:2;6:2;7:1;8:1;9:1","5:2;6:2;7:1;8:1;9:1",1,1,2,2,0,"5;6",0,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,0.998001998001998,1,1,1,5,0,"No significant recurrence or compactness",35,35,2,2,37,36
