"ID","chrom","loc.start","loc.end","lsn.type","gene_overlap_start","gene_overlap_end","gene_overlap_bp","covers_complete_gene"
"PASRMM","4",108110101,108167900,"HETDEL",108110101,108167900,57799,FALSE
"PASRPV","4",108117001,108159300,"HETDEL",108117001,108159300,42299,FALSE
"PASRSE","4",108149601,108167300,"HETDEL",108149601,108167300,17699,FALSE
"PASRUK","4",108160101,108167300,"HETDEL",108160101,108167300,7199,FALSE
"PASTCH","4",108086901,108168000,"HETDEL",108086901,108168000,81099,FALSE
"PASTHE","4",108081001,108167300,"HETDEL",108081001,108167300,86299,FALSE
"PASUSV","4",108050401,108167300,"HETDEL",108050401,108167300,116899,FALSE
"PASVWH","4",108095301,108167300,"HETDEL",108095301,108167300,71999,FALSE
"PASVZJ","4",108112901,108167200,"HETDEL",108112901,108167200,54299,FALSE
"PASWXB","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PASWYU","4",108068201,108141500,"HETDEL",108068201,108141500,73299,FALSE
"PASYNX","4",108078701,108160000,"HETDEL",108078701,108160000,81299,FALSE
"PASYSJ","4",108101201,108166900,"HETDEL",108101201,108166900,65699,FALSE
"PASYVU","4",108095301,108167400,"HETDEL",108095301,108167400,72099,FALSE
"PASYWF","4",107965801,108119000,"HETDEL",108047545,108119000,71455,FALSE
"PASZAY","4",108149401,108167300,"HETDEL",108149401,108167300,17899,FALSE
"PATALF","4",108081401,108167200,"HETDEL",108081401,108167200,85799,FALSE
"PATBTX","4",108102001,108167300,"HETDEL",108102001,108167300,65299,FALSE
"PATCTR","4",108080801,108160400,"HETDEL",108080801,108160400,79599,FALSE
"PATDTN","4",108112901,108166800,"HETDEL",108112901,108166800,53899,FALSE
"PATFPU","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PATGBY","4",108095301,108153600,"HETDEL",108095301,108153600,58299,FALSE
"PATHFE","4",108050601,108167200,"HETDEL",108050601,108167200,116599,FALSE
"PATITY","4",108050501,108168400,"HETDEL",108050501,108168400,117899,FALSE
"PATJLY","4",108083001,108167200,"HETDEL",108083001,108167200,84199,FALSE
"PATKVD","4",108095101,108158300,"HETDEL",108095101,108158300,63199,FALSE
"PATKZH","4",108160701,108354300,"HETDEL",108160701,108168956,8255,FALSE
"PATLLH","4",108080901,108167300,"HETDEL",108080901,108167300,86399,FALSE
"PATNAM","4",108164801,108220200,"HETDEL",108164801,108168956,4155,FALSE
"PATPDA","4",108071801,108167200,"HETDEL",108071801,108167200,95399,FALSE
"PATRAB","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PATRKV","4",108086401,108164800,"HETDEL",108086401,108164800,78399,FALSE
"PATSPG","4",108121101,108354400,"HETDEL",108121101,108168956,47855,FALSE
"PATWJU","4",108095101,108167200,"HETDEL",108095101,108167200,72099,FALSE
"PATYWV","4",108145201,108158300,"HETDEL",108145201,108158300,13099,FALSE
"PATZST","4",108141401,108167300,"HETDEL",108141401,108167300,25899,FALSE
"PATZYR","4",108146701,108167200,"HETDEL",108146701,108167200,20499,FALSE
"PAUAKN","4",108161001,108167200,"HETDEL",108161001,108167200,6199,FALSE
"PAUAZV","4",108158101,108167300,"HETDEL",108158101,108167300,9199,FALSE
"PAUBCT","4",108102901,108167200,"HETDEL",108102901,108167200,64299,FALSE
"PAUBTC","4",108117001,108141600,"HETDEL",108117001,108141600,24599,FALSE
"PAUCCG","4",108033601,108167800,"HETDEL",108047545,108167800,120255,FALSE
"PAUCDC","4",108054001,108167300,"HETDEL",108054001,108167300,113299,FALSE
"PAUEDT","4",108141501,108167200,"HETDEL",108141501,108167200,25699,FALSE
"PAUEUC","4",108167201,108351500,"HETDEL",108167201,108168956,1755,FALSE
"PAUEUC","4",108112801,108160500,"HETDEL",108112801,108160500,47699,FALSE
"PAUEVJ","4",108096201,108166900,"HETDEL",108096201,108166900,70699,FALSE
"PAUEXN","4",108141501,108167600,"HETDEL",108141501,108167600,26099,FALSE
"PAUFBJ","4",106142201,127383000,"HETDEL",108047545,108168956,121411,TRUE
"PAUGDT","4",108141001,108166400,"HETDEL",108141001,108166400,25399,FALSE
"PAUGLY","4",108157201,108168500,"HETDEL",108157201,108168500,11299,FALSE
"PAUIEM","4",108029201,108142000,"HETDEL",108047545,108142000,94455,FALSE
"PAUIFA","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PAUJVL","4",108149701,108168900,"HETDEL",108149701,108168900,19199,FALSE
"PAUKYJ","4",108032101,108168400,"HETDEL",108047545,108168400,120855,FALSE
"PAUKZJ","4",108071001,108163800,"HETDEL",108071001,108163800,92799,FALSE
"PAULCK","4",108141501,108167100,"HETDEL",108141501,108167100,25599,FALSE
"PAULGX","4",108071601,108080800,"HETDEL",108071601,108080800,9199,FALSE
"PAUMIB","4",108121101,108149500,"HETDEL",108121101,108149500,28399,FALSE
"PAUMLX","4",108095101,108169000,"HETDEL",108095101,108168956,73855,FALSE
"PAUMXB","4",108115901,108169300,"HETDEL",108115901,108168956,53055,FALSE
"PAUPUW","4",108141601,108167300,"HETDEL",108141601,108167300,25699,FALSE
"PAURLU","4",108112701,108167500,"HETDEL",108112701,108167500,54799,FALSE
"PAUSIS","4",108050401,108167100,"HETDEL",108050401,108167100,116699,FALSE
"PAUTBB","4",108095301,108167100,"HETDEL",108095301,108167100,71799,FALSE
"PAUTUL","4",108071601,108167200,"HETDEL",108071601,108167200,95599,FALSE
"PAUUAL","4",108141001,108167500,"HETDEL",108141001,108167500,26499,FALSE
"PAUUIK","4",108141501,108167300,"HETDEL",108141501,108167300,25799,FALSE
"PAUWMZ","4",108141601,108167300,"HETDEL",108141601,108167300,25699,FALSE
"PAUWXI","4",108052001,108167200,"HETDEL",108052001,108167200,115199,FALSE
"PAUXCW","4",108141301,108167300,"HETDEL",108141301,108167300,25999,FALSE
"PAUXKE","4",108112901,108167300,"HETDEL",108112901,108167300,54399,FALSE
"PAUXRM","4",108086701,108167300,"HETDEL",108086701,108167300,80599,FALSE
"PAUXYI","4",108083001,108167200,"HETDEL",108083001,108167200,84199,FALSE
"PAUYJF","4",108080901,108167200,"HETDEL",108080901,108167200,86299,FALSE
"PAVBFC","4",108141501,108158300,"HETDEL",108141501,108158300,16799,FALSE
"PAVCRK","4",108118901,108167200,"HETDEL",108118901,108167200,48299,FALSE
"PAVFAX","4",108141401,108167300,"HETDEL",108141401,108167300,25899,FALSE
"PAVHAA","4",108118201,108166400,"HETDEL",108118201,108166400,48199,FALSE
"PAVHBL","4",108141601,108167200,"HETDEL",108141601,108167200,25599,FALSE
"PAVHGX","4",108101301,108166100,"HETDEL",108101301,108166100,64799,FALSE
"PAVHGX","4",108166101,108167300,"HETDEL",108166101,108167300,1199,FALSE
"PAVKCV","4",108167301,108354900,"HETDEL",108167301,108168956,1655,FALSE
"PAVKCV","4",108101301,108141500,"HETDEL",108101301,108141500,40199,FALSE
"PAVKPV","4",108142901,108167000,"HETDEL",108142901,108167000,24099,FALSE
"PAVKUU","4",108049501,108575900,"HETDEL",108049501,108168956,119455,FALSE
"PAVLLU","4",108131301,108167200,"HETDEL",108131301,108167200,35899,FALSE
"PAVMKN","4",108112701,108167200,"HETDEL",108112701,108167200,54499,FALSE
"PAVMPT","4",108086501,108167400,"HETDEL",108086501,108167400,80899,FALSE
"PAVNGZ","4",108160501,108167100,"HETDEL",108160501,108167100,6599,FALSE
"PAVNGZ","4",108158301,108160500,"HETDEL",108158301,108160500,2199,FALSE
"PAVNTB","4",108141701,108167400,"HETDEL",108141701,108167400,25699,FALSE
"PAVPCB","4",108141501,108167600,"HETDEL",108141501,108167600,26099,FALSE
"PAVRXK","4",108068801,108366900,"HETDEL",108068801,108168956,100155,FALSE
"PAVVBE","4",108167301,108354400,"HETDEL",108167301,108168956,1655,FALSE
"PAVVDS","4",108081101,108095300,"HETDEL",108081101,108095300,14199,FALSE
"PAVWDF","4",108154401,108167300,"HETDEL",108154401,108167300,12899,FALSE
"PAVWNL","4",108158201,108169200,"HETDEL",108158201,108168956,10755,FALSE
"PAVYAZ","4",108167301,108351200,"HETDEL",108167301,108168956,1655,FALSE
"PAVYAZ","4",108117001,108141600,"HETDEL",108117001,108141600,24599,FALSE
"PAVYGR","4",108112901,108149700,"HETDEL",108112901,108149700,36799,FALSE
"PAVYTZ","4",108158201,108167300,"HETDEL",108158201,108167300,9099,FALSE
"PAVZCF","4",108081301,108167300,"HETDEL",108081301,108167300,85999,FALSE
"PAWAIM","4",108095301,108167200,"HETDEL",108095301,108167200,71899,FALSE
"PAWAIN","4",108147001,108166500,"HETDEL",108147001,108166500,19499,FALSE
"PAWAKA","4",108095201,108167300,"HETDEL",108095201,108167300,72099,FALSE
"PAWDEK","4",108158401,108167300,"HETDEL",108158401,108167300,8899,FALSE
"PAWDMI","4",108095301,108166500,"HETDEL",108095301,108166500,71199,FALSE
"PAWDWJ","4",108048201,108167400,"HETDEL",108048201,108167400,119199,FALSE
"PAWEEC","4",108095501,108167200,"HETDEL",108095501,108167200,71699,FALSE
"PAWEEX","4",108141501,108165000,"HETDEL",108141501,108165000,23499,FALSE
"PAWESJ","4",108163401,108345900,"HETDEL",108163401,108168956,5555,FALSE
"PAWETD","4",108031101,108167100,"HETDEL",108047545,108167100,119555,FALSE
"PAWFNJ","4",108112701,108167800,"HETDEL",108112701,108167800,55099,FALSE
"PAWFWF","4",108121101,108354600,"HETDEL",108121101,108168956,47855,FALSE
"PAWGCK","4",108141601,108166600,"HETDEL",108141601,108166600,24999,FALSE
"PAWGIT","4",108095301,108167200,"HETDEL",108095301,108167200,71899,FALSE
"PAWGXM","4",108071101,108162000,"HETDEL",108071101,108162000,90899,FALSE
"PAWGZM","4",108119001,108166700,"HETDEL",108119001,108166700,47699,FALSE
"PAWIWS","4",108083001,108167100,"HETDEL",108083001,108167100,84099,FALSE
"PAWJKX","4",108121001,108167100,"HETDEL",108121001,108167100,46099,FALSE
"PAWJYN","4",108157401,108168700,"HETDEL",108157401,108168700,11299,FALSE
"PARSLA","4",108141501,108167300,"HOMDEL",108141501,108167300,25799,FALSE
"PARWNW","4",108119001,108167300,"HOMDEL",108119001,108167300,48299,FALSE
"PASILW","4",108141201,108167200,"HOMDEL",108141201,108167200,25999,FALSE
"PASKAD","4",108095301,108167300,"HOMDEL",108095301,108167300,71999,FALSE
"PASKLU","4",108157501,108167300,"HOMDEL",108157501,108167300,9799,FALSE
"PASKWG","4",108095101,108167300,"HOMDEL",108095101,108167300,72199,FALSE
"PASRPV","4",108159301,108351500,"HOMDEL",108159301,108168956,9655,FALSE
"PASWYU","4",108141501,108167400,"HOMDEL",108141501,108167400,25899,FALSE
"PASYWF","4",108119001,108167300,"HOMDEL",108119001,108167300,48299,FALSE
"PATCTR","4",108160401,108168000,"HOMDEL",108160401,108168000,7599,FALSE
"PATGBY","4",108153601,108167300,"HOMDEL",108153601,108167300,13699,FALSE
"PATJRX","4",108141401,108167300,"HOMDEL",108141401,108167300,25899,FALSE
"PATKVD","4",108158301,108167300,"HOMDEL",108158301,108167300,8999,FALSE
"PATYWV","4",108158301,108167300,"HOMDEL",108158301,108167300,8999,FALSE
"PAUBTC","4",108141601,108167200,"HOMDEL",108141601,108167200,25599,FALSE
"PAUEUC","4",108160501,108167200,"HOMDEL",108160501,108167200,6699,FALSE
"PAUIEM","4",108142001,108167300,"HOMDEL",108142001,108167300,25299,FALSE
"PAULGX","4",108080801,108168200,"HOMDEL",108080801,108168200,87399,FALSE
"PAUMIB","4",108149501,108169200,"HOMDEL",108149501,108168956,19455,FALSE
"PAUUBG","4",108141501,108167200,"HOMDEL",108141501,108167200,25699,FALSE
"PAVBFC","4",108158301,108167300,"HOMDEL",108158301,108167300,8999,FALSE
"PAVESF","4",108141501,108167300,"HOMDEL",108141501,108167300,25799,FALSE
"PAVKCV","4",108141501,108167300,"HOMDEL",108141501,108167300,25799,FALSE
"PAVKWV","4",108141501,108167300,"HOMDEL",108141501,108167300,25799,FALSE
"PAVLMY","4",108141601,108167300,"HOMDEL",108141601,108167300,25699,FALSE
"PAVVBE","4",108070001,108167300,"HOMDEL",108070001,108167300,97299,FALSE
"PAVVDS","4",108095301,108167300,"HOMDEL",108095301,108167300,71999,FALSE
"PAVYAZ","4",108141601,108167300,"HOMDEL",108141601,108167300,25699,FALSE
"PAVYGR","4",108149701,108167300,"HOMDEL",108149701,108167300,17599,FALSE
"PAWKAN","4",108095001,108167200,"HOMDEL",108095001,108167200,72199,FALSE
