"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"PDBe-KB:ligand:29f2e6bb","PTEN","P60484","PDBe-KB/SIFTS","TLA","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with L(+)-TARTARIC ACID (TLA)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",92,171,"92-92;93-93;124-124;125-125;126-126;127-127;128-128;129-129;130-130;131-131;171-171","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","1D5R;5BUG;5BZX;5BZZ","PDB-CCD:TLA","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:46Z"
"InterPro:IPR000387:1:32c1f115","PTEN","P60484","InterPro","IPR000387","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","Tyrosine-specific protein phosphatases domain","Tyrosine specific protein phosphatases (PTPases) contain two conserved cysteines, the second one has been shown to be absolutely required for activity. This entry represents the PTPase domain that centre on the active site cysteine. A number of conserved residues in its immediate vicinity have also been shown to be important. Protein tyrosine (pTyr) phosphorylation is a common post-translational modification which can create novel recognition motifs for protein interactions and cellular localisation, affect protein stability, and regulate enzyme activity. Consequently, maintaining an appropriate level of protein tyrosine phosphorylation is essential for many cellular functions. Tyrosine-specific protein phosphatases (PTPase; [ec:3.1.3.48]) catalyse the removal of a phosphate group attached to a tyrosine residue, using a cysteinyl-phosphate enzyme intermediate. These enzymes are key regulatory components in signal transduction pathways (such as the MAP kinase pathway) and cell cycle control, and are important in the control of cell growth, proliferation, differentiation and transformation [[cite:PUB00035793], [cite:PUB00035794]]. The PTP superfamily can be divided into four subfamilies [[cite:PUB00035795]]: (1) pTyr-specific phosphatases (2) dual specificity phosphatases (dTyr and dSer/dThr) (3) Cdc25 phosphatases (dTyr and/or dThr) (4) LMW (low molecular weight) phosphatases Based on their cellular localisation, PTPases are also classified as: Receptor-like, which are transmembrane receptors that contain PTPase domains [[cite:PUB00035796]] Non-receptor (intracellular) PTPases [[cite:PUB00035797]] All PTPases carry the highly conserved active site motif C(X)5R (PTP signature motif), employ a common catalytic mechanism, and share a similar core structure made of a central parallel β-sheet with flanking α-helices containing a β-loop-α-loop that encompasses the PTP signature motif [[cite:PUB00035798]]. Functional diversity between PTPases is endowed by regulatory domains and subunits.",102,173,"102-173","EXACT","EXACT","database_signature_match","InterPro","IPR000387","profile:PS50056","GO:0016311","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000387/","","","2026-09-17T05:13:34Z"
"InterPro:IPR016130:1:29ca8612","PTEN","P60484","InterPro","IPR016130","functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region","active_site","Protein-tyrosine phosphatase, active site","This entry includes proteins of two subfamilies: Ser/Thr ([ec:3.1.3.16]) and Tyr dual specificity protein phosphatase and tyrosine specific protein phosphatase ([ec:3.1.3.48]). Both of these subfamilies may also have inactive phosphatase domains, and dependent on the domain composition this loss of catalytic activity has different effects on protein function. Inactive single domain phosphatases can still specifically bind substrates, and protect against dephosphorylation, while the inactive domains of tandem phosphatases can be further subdivided into two classes. Those which bind phosphorylated tyrosine residues may recruit multi-phosphorylated substrates for the adjacent active domains and are more conserved, while the other class have accumulated several variable amino acid substitutions and have a complete loss of tyrosine binding capability. The second class shows a release of evolutionary constraint for the sites around the catalytic centre, which emphasises a difference in function from the first group. There is a region of higher conservation common to both classes, suggesting a regulatory centre [[cite:PUB00014502]]. Ser/Thr and Tyr dual specificity phosphatases are a group of enzymes with both Ser/Thr ([ec:3.1.3.16]) and tyrosine specific protein phosphatase ([ec:3.1.3.48]) activity able to remove both the serine/threonine or tyrosine-bound phosphate group from a wide range of phosphoproteins, including a number of enzymes which have been phosphorylated under the action of a kinase. Dual specificity protein phosphatases (DSPs) regulate mitogenic signal transduction and control the cell cycle. Tyrosine specific protein phosphatases catalyze the removal of a phosphate group attached to a tyrosine residue. They are also very important in the control of cell growth, proliferation, differentiation and transformation.",122,132,"122-132","EXACT","EXACT","database_signature_match","InterPro","IPR016130","prosite:PS00383","GO:0016311","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR016130/","","","2026-09-17T05:13:34Z"
"UniProtKB:P60484:5a1a000e","PTEN","P60484","UniProtKB","P60484","site","catalytic_site","catalytic_site","grin3d_annotation_hierarchy_v1:catalytic_site","Active site","Phosphocysteine intermediate","Phosphocysteine intermediate",124,124,"124-124","EXACT","EXACT","ECO:0000255","PROSITE-ProRule","PRU00590","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"PDBe-KB:ligand:638db76f","PTEN","P60484","PDBe-KB/SIFTS","VO4","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with VANADATE ION (VO4)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",124,131,"124-124;125-125;126-126;127-127;128-128;129-129;130-130;131-131","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","5BZX","PDB-CCD:VO4","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:46Z"
"InterPro:IPR035892:1:783717b2","PTEN","P60484","InterPro","IPR035892","domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily","homologous_superfamily","C2 domain superfamily","The C2 domain is a Ca 2+ -dependent membrane-targeting module found in many cellular proteins involved in signal transduction or membrane trafficking. C2 domains are unique among membrane targeting domains in that they show wide range of lipid selectivity for the major components of cell membranes, including phosphatidylserine and phosphatidylcholine. This C2 domain is about 116 amino-acid residues and is located between the two copies of the C1 domain in Protein Kinase C and the protein kinase catalytic domain [[cite:PUB00081923]]. Regions with significant homology [[cite:PUB00002925]] to the C2-domain have been found in many proteins. The C2 domain is thought to be involved in calcium-dependent phospholipid binding [[cite:PUB00002815]] and in membrane targetting processes such as subcellular localisation. The 3D structure of the C2 domain of synaptotagmin has been reported [[cite:PUB00000918]], the domain forms an eight-stranded β-sandwich constructed around a conserved 4-stranded motif, designated a C2 key [[cite:PUB00000918]]. Calcium binds in a cup-shaped depression formed by the N- and C-terminal loops of the C2-key motif. Structural analyses of several C2 domains have shown them to consist of similar ternary structures in which three Ca 2+ -binding loops are located at the end of an 8 stranded antiparallel β-sandwich.",188,349,"188-349","EXACT","EXACT","database_signature_match","InterPro","IPR035892","cathgene3d:G3DSA:2.60.40.150;ssf:SSF49562","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR035892/","","","2026-09-17T05:13:34Z"
"InterPro:IPR014020:1:7837182c","PTEN","P60484","InterPro","IPR014020","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","Tensin phosphatase, C2 domain","Tensins constitute an eukaryotic family of lipid phosphatases that are defined by the presence of two adjacent domains: a lipid phosphatase domain and a C2-like domain. The tensin-type C2 domain has a structure similar to the classical C2 domain (see [interpro:IPR000008]) that mediates the Ca2+-dependent membrane recruitment of several signalling proteins. However the tensin-type C2 domain lacks two of the three conserved loops that bind Ca2+, and in this respect it is similar to the C2 domains of PKC-type [[cite:PUB00033631], [cite:PUB00033632]]. The tensin-type C2 domain can bind phopholipid membranes in a Ca2+ independent manner [[cite:PUB00028325]]. In the tumour suppressor protein PTEN, the best characterised member of the family, the lipid phosphatase domain was shown to specifically dephosphorylate the D3 position of the inositol ring of the lipid second messenger, phosphatydilinositol-3-4-5-triphosphate (PIP3). The lipid phosphatase domain contains the signature motif HCXXGXXR present in the active sites of protein tyrosine phosphatases (PTPs) and dual specificity phosphatases (DSPs). Furthermore, two invariant lysines are found only in the tensin-type phosphatase motif (HCKXGKXR) and are suspected to interact with the phosphate group at position D1 and D5 of the inositol ring [[cite:PUB00033631], [cite:PUB00028325]].",188,350,"188-350","EXACT","EXACT","database_signature_match","InterPro","IPR014020","pfam:PF10409;profile:PS51182;smart:SM01326","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR014020/","","","2026-09-17T05:13:34Z"
"UniProtKB:P60484:07b36258","PTEN","P60484","UniProtKB","P60484","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","Domain","C2 tensin-type","C2 tensin-type",190,350,"190-350","EXACT","EXACT","ECO:0000255","PROSITE-ProRule","PRU00589","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:170b410f","PTEN","P60484","UniProtKB","P60484","modification","ptm","ubiquitination","grin3d_annotation_hierarchy_v1:ubiquitination","Cross-link","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)",289,289,"289-289","EXACT","EXACT","ECO:0000269","PubMed","18716620","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:1f1da56c","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine","Phosphoserine",294,294,"294-294","EXACT","EXACT","ECO:0000250","UniProtKB","O08586","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:2cde9cf2","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine","Phosphothreonine",319,319,"319-319","EXACT","EXACT","ECO:0000269","PubMed","26166433","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:4190bb40","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine","Phosphothreonine",321,321,"321-321","EXACT","EXACT","ECO:0000269","PubMed","26166433","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:699d0487","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphotyrosine; by FRK","Phosphotyrosine; by FRK",336,336,"336-336","EXACT","EXACT","ECO:0000269","PubMed","19345329","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:0e7684db","PTEN","P60484","UniProtKB","P60484","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Required for interaction with NOP53","Required for interaction with NOP53",338,348,"338-348","EXACT","EXACT","ECO:0000269","PubMed","15355975","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:017a8dd1","PTEN","P60484","UniProtKB","P60484","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",352,403,"352-403","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"PDBe-KB:interface:5b000ad0","PTEN","P60484","PDBe-KB/SIFTS","O43791","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Speckle-type POZ protein","UniProt-indexed contact residues observed in PDB structures; partner type UNP",357,363,"357-357;358-358;359-359;360-360;361-361;362-362;363-363","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","4O1V","partner:O43791;PDB:4O1V","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:45Z"
"UniProtKB:P60484:25d57496","PTEN","P60484","UniProtKB","P60484","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Low complexity","Low complexity",360,369,"360-369","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:40e87263","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine; by GSK3-beta and PLK3","Phosphothreonine; by GSK3-beta and PLK3",366,366,"366-366","EXACT","EXACT","ECO:0000269;ECO:0007744","PubMed","12297295;20940307;24275569","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:52e4385e","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by CK2 and PLK3","Phosphoserine; by CK2 and PLK3",370,370,"370-370","EXACT","EXACT","ECO:0000269","PubMed","11035045;12297295;20940307","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:0a92be1b","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by ROCK1 and CK2","Phosphoserine; by ROCK1 and CK2",380,380,"380-380","EXACT","EXACT","ECO:0000269","PubMed","11035045","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:20490660","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine; by ROCK1 and CK2","Phosphothreonine; by ROCK1 and CK2",382,382,"382-382","EXACT","EXACT","ECO:0000269","PubMed","11035045","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:118c089b","PTEN","P60484","UniProtKB","P60484","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine; by ROCK1 and CK2","Phosphothreonine; by ROCK1 and CK2",383,383,"383-383","EXACT","EXACT","ECO:0000269","PubMed","11035045","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:1d17b9b5","PTEN","P60484","UniProtKB","P60484","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Acidic residues","Acidic residues",383,393,"383-393","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
